# Region type : patch inlet
# Faces         : 1125
# Area          : 3.13585390e-04
# Scale factor  : 1.00000000e+00
# Time          	sum(U)	sum(phi)
100             	(0.00000000e+00 0.00000000e+00 1.12500000e+02)	-3.13585390e-05
200             	(0.00000000e+00 0.00000000e+00 1.12500000e+02)	-3.13585390e-05
300             	(0.00000000e+00 0.00000000e+00 1.12500000e+02)	-3.13585390e-05
400             	(0.00000000e+00 0.00000000e+00 1.12500000e+02)	-3.13585390e-05
448             	(0.00000000e+00 0.00000000e+00 1.12500000e+02)	-3.13585390e-05
