# Wall heat-flux
# Time        	patch         	min           	max           	integral      
106           	walls	1.000000e+02	1.000000e+02	7.536378e+00
107           	walls	1.000000e+02	1.000000e+02	7.536378e+00
108           	walls	1.000000e+02	1.000000e+02	7.536378e+00
109           	walls	1.000000e+02	1.000000e+02	7.536378e+00
110           	walls	1.000000e+02	1.000000e+02	7.536378e+00
111           	walls	1.000000e+02	1.000000e+02	7.536378e+00
112           	walls	1.000000e+02	1.000000e+02	7.536378e+00
113           	walls	1.000000e+02	1.000000e+02	7.536378e+00
114           	walls	1.000000e+02	1.000000e+02	7.536378e+00
115           	walls	1.000000e+02	1.000000e+02	7.536378e+00
116           	walls	1.000000e+02	1.000000e+02	7.536378e+00
117           	walls	1.000000e+02	1.000000e+02	7.536378e+00
118           	walls	1.000000e+02	1.000000e+02	7.536378e+00
119           	walls	1.000000e+02	1.000000e+02	7.536378e+00
120           	walls	1.000000e+02	1.000000e+02	7.536378e+00
121           	walls	1.000000e+02	1.000000e+02	7.536378e+00
122           	walls	1.000000e+02	1.000000e+02	7.536378e+00
123           	walls	1.000000e+02	1.000000e+02	7.536378e+00
124           	walls	1.000000e+02	1.000000e+02	7.536378e+00
125           	walls	1.000000e+02	1.000000e+02	7.536378e+00
126           	walls	1.000000e+02	1.000000e+02	7.536378e+00
127           	walls	1.000000e+02	1.000000e+02	7.536378e+00
128           	walls	1.000000e+02	1.000000e+02	7.536378e+00
129           	walls	1.000000e+02	1.000000e+02	7.536378e+00
130           	walls	1.000000e+02	1.000000e+02	7.536378e+00
131           	walls	1.000000e+02	1.000000e+02	7.536378e+00
132           	walls	1.000000e+02	1.000000e+02	7.536378e+00
133           	walls	1.000000e+02	1.000000e+02	7.536378e+00
134           	walls	1.000000e+02	1.000000e+02	7.536378e+00
135           	walls	1.000000e+02	1.000000e+02	7.536378e+00
136           	walls	1.000000e+02	1.000000e+02	7.536378e+00
137           	walls	1.000000e+02	1.000000e+02	7.536378e+00
138           	walls	1.000000e+02	1.000000e+02	7.536378e+00
139           	walls	1.000000e+02	1.000000e+02	7.536378e+00
140           	walls	1.000000e+02	1.000000e+02	7.536378e+00
141           	walls	1.000000e+02	1.000000e+02	7.536378e+00
142           	walls	1.000000e+02	1.000000e+02	7.536378e+00
143           	walls	1.000000e+02	1.000000e+02	7.536378e+00
144           	walls	1.000000e+02	1.000000e+02	7.536378e+00
145           	walls	1.000000e+02	1.000000e+02	7.536378e+00
146           	walls	1.000000e+02	1.000000e+02	7.536378e+00
147           	walls	1.000000e+02	1.000000e+02	7.536378e+00
148           	walls	1.000000e+02	1.000000e+02	7.536378e+00
149           	walls	1.000000e+02	1.000000e+02	7.536378e+00
150           	walls	1.000000e+02	1.000000e+02	7.536378e+00
151           	walls	1.000000e+02	1.000000e+02	7.536378e+00
152           	walls	1.000000e+02	1.000000e+02	7.536378e+00
153           	walls	1.000000e+02	1.000000e+02	7.536378e+00
154           	walls	1.000000e+02	1.000000e+02	7.536378e+00
