# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   
48            	smoothSolver	3.237690e-03	2.696310e-04	2	3.237570e-03	2.695960e-04	2	2.484180e-03	1.991720e-04	2	false
49            	smoothSolver	3.141500e-03	2.615800e-04	2	3.141380e-03	2.615420e-04	2	2.401430e-03	1.926620e-04	2	false
50            	smoothSolver	3.044150e-03	2.536700e-04	2	3.043760e-03	2.536060e-04	2	2.322340e-03	1.864310e-04	2	false
51            	smoothSolver	2.947970e-03	2.457660e-04	2	2.947660e-03	2.457110e-04	2	2.247550e-03	1.805160e-04	2	false
52            	smoothSolver	2.852470e-03	2.378750e-04	2	2.852200e-03	2.378270e-04	2	2.176570e-03	1.748840e-04	2	false
53            	smoothSolver	2.762330e-03	2.304270e-04	2	2.762060e-03	2.303800e-04	2	2.108430e-03	1.694760e-04	2	false
54            	smoothSolver	2.678360e-03	2.234990e-04	2	2.678070e-03	2.234550e-04	2	2.042560e-03	1.642570e-04	2	false
55            	smoothSolver	2.607610e-03	2.173040e-04	2	2.607200e-03	2.172500e-04	2	1.979130e-03	1.592320e-04	2	false
56            	smoothSolver	2.550580e-03	2.120090e-04	2	2.550230e-03	2.119590e-04	2	1.918500e-03	1.544190e-04	2	false
57            	smoothSolver	2.503310e-03	2.075160e-04	2	2.503110e-03	2.074780e-04	2	1.860580e-03	1.498130e-04	2	false
58            	smoothSolver	2.461010e-03	2.034820e-04	2	2.460830e-03	2.034520e-04	2	1.805040e-03	1.453920e-04	2	false
59            	smoothSolver	2.421330e-03	1.996310e-04	2	2.421050e-03	1.995890e-04	2	1.751540e-03	1.411320e-04	2	false
60            	smoothSolver	2.381460e-03	1.958560e-04	2	2.381150e-03	1.958170e-04	2	1.699780e-03	1.370150e-04	2	false
61            	smoothSolver	2.340400e-03	1.921220e-04	2	2.340090e-03	1.920840e-04	2	1.649810e-03	1.330410e-04	2	false
62            	smoothSolver	2.295430e-03	1.882950e-04	2	2.295120e-03	1.882570e-04	2	1.601680e-03	1.292110e-04	2	false
63            	smoothSolver	2.247950e-03	1.842680e-04	2	2.247720e-03	1.842370e-04	2	1.555320e-03	1.255210e-04	2	false
64            	smoothSolver	2.200700e-03	1.801150e-04	2	2.200480e-03	1.800850e-04	2	1.510650e-03	1.219640e-04	2	false
65            	smoothSolver	2.150670e-03	1.759320e-04	2	2.150430e-03	1.758990e-04	2	1.467520e-03	1.185310e-04	2	false
66            	smoothSolver	2.097510e-03	1.717250e-04	2	2.097260e-03	1.716950e-04	2	1.425840e-03	1.152140e-04	2	false
67            	smoothSolver	2.044580e-03	1.674790e-04	2	2.044340e-03	1.674480e-04	2	1.385580e-03	1.120100e-04	2	false
68            	smoothSolver	1.994640e-03	1.632250e-04	2	1.994370e-03	1.631930e-04	2	1.346730e-03	1.089140e-04	2	false
69            	smoothSolver	1.944770e-03	1.589860e-04	2	1.944540e-03	1.589570e-04	2	1.309220e-03	1.059240e-04	2	false
70            	smoothSolver	1.894690e-03	1.548090e-04	2	1.894540e-03	1.547870e-04	2	1.272950e-03	1.030320e-04	2	false
71            	smoothSolver	1.844300e-03	1.506470e-04	2	1.844120e-03	1.506210e-04	2	1.237860e-03	1.002340e-04	2	false
72            	smoothSolver	1.794280e-03	1.465730e-04	2	1.794010e-03	1.465400e-04	2	1.203930e-03	9.752740e-05	2	false
73            	smoothSolver	1.744690e-03	1.425650e-04	2	1.744430e-03	1.425320e-04	2	1.171100e-03	9.490780e-05	2	false
74            	smoothSolver	1.695110e-03	1.386420e-04	2	1.694890e-03	1.386100e-04	2	1.139350e-03	9.237330e-05	2	false
75            	smoothSolver	1.646360e-03	1.350550e-04	2	1.646190e-03	1.350280e-04	2	1.108620e-03	8.992020e-05	2	false
76            	smoothSolver	1.598590e-03	1.317270e-04	2	1.598430e-03	1.317000e-04	2	1.078870e-03	8.754640e-05	2	false
77            	smoothSolver	1.552560e-03	1.284630e-04	2	1.552370e-03	1.284330e-04	2	1.050070e-03	8.524830e-05	2	false
78            	smoothSolver	1.510470e-03	1.252610e-04	2	1.510240e-03	1.252230e-04	2	1.022180e-03	8.302490e-05	2	false
79            	smoothSolver	1.472810e-03	1.221730e-04	2	1.472590e-03	1.221380e-04	2	9.952010e-04	8.087530e-05	2	false
80            	smoothSolver	1.437090e-03	1.192180e-04	2	1.436930e-03	1.191900e-04	2	9.690970e-04	7.879850e-05	2	false
81            	smoothSolver	1.402440e-03	1.163040e-04	2	1.402300e-03	1.162790e-04	2	9.438090e-04	7.680360e-05	2	false
82            	smoothSolver	1.368330e-03	1.133740e-04	2	1.368190e-03	1.133470e-04	2	9.193190e-04	7.489010e-05	2	false
83            	smoothSolver	1.334450e-03	1.104520e-04	2	1.334240e-03	1.104220e-04	2	8.955980e-04	7.304920e-05	2	false
84            	smoothSolver	1.300740e-03	1.075840e-04	2	1.300540e-03	1.075540e-04	2	8.726490e-04	7.126560e-05	2	false
85            	smoothSolver	1.267460e-03	1.047340e-04	2	1.267340e-03	1.047090e-04	2	8.504780e-04	6.953700e-05	2	false
86            	smoothSolver	1.234840e-03	1.019750e-04	2	1.234700e-03	1.019500e-04	2	8.292510e-04	6.786130e-05	2	false
87            	smoothSolver	1.201460e-03	9.927360e-05	2	1.201350e-03	9.924970e-05	2	8.090010e-04	6.623710e-05	2	false
88            	smoothSolver	1.167510e-03	9.660730e-05	2	1.167390e-03	9.658400e-05	2	7.894150e-04	6.466320e-05	2	false
89            	smoothSolver	1.134210e-03	9.392630e-05	2	1.134030e-03	9.389860e-05	2	7.704450e-04	6.313770e-05	2	false
90            	smoothSolver	1.102360e-03	9.126770e-05	2	1.102180e-03	9.123880e-05	2	7.520760e-04	6.165880e-05	2	false
91            	smoothSolver	1.071620e-03	8.867250e-05	2	1.071470e-03	8.864600e-05	2	7.342680e-04	6.022800e-05	2	false
92            	smoothSolver	1.041940e-03	8.617110e-05	2	1.041810e-03	8.614800e-05	2	7.169980e-04	5.884010e-05	2	false
93            	smoothSolver	1.013030e-03	8.374660e-05	2	1.012930e-03	8.372690e-05	2	7.002490e-04	5.749540e-05	2	false
94            	smoothSolver	9.849510e-04	8.144540e-05	2	9.848150e-04	8.142230e-05	2	6.839900e-04	5.619020e-05	2	false
95            	smoothSolver	9.585510e-04	7.927930e-05	2	9.584240e-04	7.925720e-05	2	6.682030e-04	5.492390e-05	2	false
